iteracao,score
2240,-4214.781283488491
2250,-4214.781283488491
2260,-4214.781283488491
2270,-4214.781283488491
2280,-4214.781283488491
2290,-4214.781283488491
2300,-4214.781283488491
2310,-4214.781283488491
2320,-4214.781283488491
2330,-4214.781283488491
2340,-4214.781283488491
2350,-4214.781283488491
2360,-4214.781283488491
2370,-4214.781283488491
2380,-4214.781283488491
2390,-4214.781283488491
2400,-4214.781283488491
2410,-4214.781283488491
2420,-4214.637005117203
2430,-4214.637005117203
2440,-4214.637005117203
2450,-4214.637005117203
2460,-4214.637005117203
2470,-4214.637005117203
2480,-4214.637005117203
2490,-4214.637005117203
2500,-4214.637005117203
2510,-4214.637005117203
2520,-4214.637005117203
2530,-4214.637005117203
2540,-4214.637005117203
2550,-4214.637005117203
2560,-4214.637005117203
2570,-4214.637005117203
2580,-4214.637005117203
2590,-4214.637005117203
2600,-4214.637005117203
2610,-4214.637005117203
2620,-4214.637005117203
2630,-4214.637005117203
2640,-4214.637005117203
2650,-4214.637005117203
2660,-4214.637005117203
2670,-4214.637005117203
2680,-4214.637005117203
2690,-4214.637005117203
2700,-4214.637005117203
2710,-4214.637005117203
2720,-4214.637005117203
2730,-4214.637005117203
2740,-4214.637005117203
2750,-4214.637005117203
2760,-4214.637005117203
2770,-4214.637005117203
2780,-4214.637005117203
2790,-4214.637005117203
2800,-4214.637005117203
2810,-4214.637005117203
2820,-4214.637005117203
2830,-4214.637005117203
2840,-4214.637005117203
2850,-4214.637005117203
2860,-4214.637005117203
2870,-4214.637005117203
2880,-4214.637005117203
2890,-4214.637005117203
2900,-4214.637005117203
2910,-4214.637005117203
2920,-4214.637005117203
2930,-4214.637005117203
2940,-4214.637005117203
2950,-4214.637005117203
2960,-4214.637005117203
2970,-4214.637005117203
2980,-4214.637005117203
2990,-4214.637005117203
3000,-4214.637005117203
3010,-4214.637005117203
3020,-4214.637005117203
3030,-4214.637005117203
3040,-4214.637005117203
3050,-4214.637005117203
3060,-4214.637005117203
3070,-4214.637005117203
3080,-4214.637005117203
3090,-4214.637005117203
3100,-4214.637005117203
3110,-4214.637005117203
3120,-4214.637005117203
3130,-4214.637005117203
3140,-4214.637005117203
3150,-4214.637005117203
3160,-4214.637005117203
3170,-4214.637005117203
3180,-4214.637005117203
3190,-4214.637005117203
3200,-4214.637005117203
3210,-4214.637005117203
3220,-4214.637005117203
3230,-4214.637005117203
3240,-4214.637005117203
3250,-4214.637005117203
3260,-4214.637005117203
3270,-4214.637005117203
3280,-4214.637005117203
3290,-4214.637005117203
3300,-4214.637005117203
3310,-4214.637005117203
3320,-4214.637005117203
3330,-4214.637005117203
3340,-4214.637005117203
3350,-4214.637005117203
3360,-4214.637005117203
3370,-4214.637005117203
3380,-4214.637005117203
3390,-4214.637005117203
3400,-4214.637005117203
3410,-4214.637005117203
3420,-4214.637005117203
3430,-4214.637005117203
3440,-4214.637005117203
3450,-4214.637005117203
3460,-4214.637005117203
3470,-4214.637005117203
3480,-4214.637005117203
