iteracao,score
860,-4256.567449319957
870,-4256.567449319957
880,-4256.567449319957
890,-4256.567449319957
900,-4256.567449319957
910,-4256.567449319957
920,-4243.706182156358
930,-4243.706182156358
940,-4243.706182156358
950,-4243.652483147656
960,-4243.501244781114
970,-4243.501244781114
980,-4243.501244781114
990,-4243.501244781114
1000,-4243.501244781114
1010,-4243.501244781114
1020,-4239.5682467487395
1030,-4239.5682467487395
1040,-4239.5682467487395
1050,-4239.5682467487395
1060,-4239.5682467487395
1070,-4239.5682467487395
1080,-4239.5682467487395
1090,-4239.5682467487395
1100,-4239.5682467487395
1110,-4239.5682467487395
610,-4487.937450636116
620,-4401.59095456866
630,-4380.53110586769
640,-4377.946053823121
650,-4374.906777900723
660,-4374.906777900723
670,-4354.703902501704
680,-4354.678767094668
690,-4352.837305317441
700,-4346.558052137165
710,-4336.715470169192
720,-4283.561015187817
730,-4281.485787334308
740,-4281.226426487335
750,-4281.226426487335
760,-4281.226426487335
770,-4280.204433664829
780,-4277.481116447724
790,-4277.481116447724
800,-4277.481116447724
810,-4275.786552026926
820,-4275.786552026926
830,-4275.786552026926
840,-4273.009407365942
850,-4272.200251413779
860,-4267.763705494035
870,-4267.209919242674
880,-4265.1111414344705
890,-4254.519921888465
900,-4254.519921888465
910,-4254.519921888465
920,-4254.519921888465
930,-4254.503383097439
940,-4253.249498481565
950,-4247.209840793216
960,-4247.209840793216
970,-4246.186513967239
980,-4246.186513967239
990,-4246.186513967239
1000,-4246.186513967239
1010,-4246.186513967239
1020,-4246.186513967239
1030,-4246.186513967239
1040,-4232.840653807075
1050,-4232.840653807075
1060,-4232.840653807075
1070,-4232.840653807075
1080,-4232.840653807075
1090,-4232.840653807075
1100,-4231.820153664073
1110,-4231.820153664073
1120,-4231.820153664073
1130,-4231.820153664073
1140,-4229.873074916098
1150,-4229.873074916098
1160,-4229.418633380335
1170,-4229.418633380335
1180,-4217.389410490246
1190,-4217.389410490246
1200,-4217.389410490246
1210,-4217.389410490246
1220,-4217.389410490246
1230,-4217.389410490246
1240,-4217.389410490246
1250,-4217.389410490246
1260,-4217.389410490246
1270,-4217.389410490246
710,-4849.599410368923
720,-4630.5156727963995
730,-4621.004614800076
740,-4583.933246369823
750,-4511.76818238948
760,-4366.989795552766
770,-4362.213814373931
780,-4342.983552649243
790,-4323.244419556117
800,-4298.7610049755485
810,-4298.7610049755485
820,-4298.7610049755485
830,-4298.7610049755485
840,-4274.298619708965
850,-4273.3893694132685
860,-4267.020634180378
870,-4258.297908466639
880,-4255.610981786554
890,-4255.610981786554
900,-4255.610981786554
910,-4254.701583848433
920,-4254.701583848433
930,-4254.701583848433
940,-4253.341960744298
950,-4253.341960744298
960,-4246.368079894932
970,-4246.368079894932
980,-4244.300275869848
990,-4244.300275869848
1000,-4244.300275869848
1010,-4244.300275869848
1020,-4244.300275869848
1030,-4243.459734641544
1040,-4243.459734641544
1050,-4243.459734641544
1060,-4229.594475062171
1070,-4229.024657919414
1080,-4229.024657919414
1090,-4229.024657919414
1100,-4229.024657919414
1110,-4229.024657919414
1120,-4229.024657919414
1130,-4229.024657919414
1140,-4229.024657919414
1150,-4229.024657919414
1160,-4226.594777367241
1170,-4226.594777367241
1180,-4226.594777367241
1190,-4223.0235118619
1200,-4223.0235118619
1210,-4223.0235118619
1220,-4223.0235118619
1230,-4223.0235118619
1240,-4223.0235118619
1250,-4222.4694288938135
1260,-4222.4694288938135
1270,-4222.4694288938135
1280,-4222.4694288938135
1290,-4222.4694288938135
1300,-4222.4694288938135
1310,-4222.4694288938135
1320,-4222.4694288938135
1330,-4222.4694288938135
1340,-4221.3980387911215
1350,-4221.3980387911215
1360,-4221.3980387911215
1370,-4221.3980387911215
1380,-4221.3980387911215
1390,-4218.512446758599
1400,-4218.512446758599
1410,-4218.512446758599
1420,-4211.529953898941
1430,-4211.529953898941
1440,-4211.529953898941
1450,-4211.529953898941
1460,-4211.529953898941
1470,-4211.529953898941
1480,-4211.529953898941
1490,-4211.529953898941
1500,-4211.529953898941
1510,-4211.529953898941
810,-4628.81564414887
820,-4547.185523784372
830,-4446.999451122579
840,-4436.065275306976
850,-4394.884578000361
860,-4385.431723126384
870,-4373.472912158
880,-4353.41064490443
890,-4347.926017074094
900,-4347.926017074094
910,-4333.222772953506
920,-4330.254209063116
930,-4327.106448016624
940,-4327.106448016624
950,-4313.248646651901
960,-4313.248646651901
970,-4294.296178531874
980,-4294.278764666688
990,-4281.606845763673
1000,-4281.606845763673
1010,-4281.606845763673
1020,-4281.606845763673
1030,-4281.606845763673
1040,-4281.606845763673
1050,-4281.606845763673
1060,-4281.606845763673
1070,-4278.301593394207
1080,-4278.301593394207
1090,-4278.301593394207
1100,-4267.998289165145
1110,-4258.809267477075
1120,-4254.087219822761
1130,-4254.087219822761
1140,-4252.509340941246
1150,-4252.509340941246
1160,-4252.509340941246
1170,-4252.509340941246
1180,-4252.509340941246
1190,-4250.930728641406
1200,-4243.851318845545
1210,-4243.851318845545
1220,-4243.851318845545
1230,-4239.654795119185
1240,-4239.654795119185
1250,-4239.654795119185
1260,-4239.654795119185
1270,-4239.654795119185
1280,-4239.654795119185
1290,-4239.654795119185
1300,-4238.250427547711
1310,-4238.250427547711
1320,-4238.250427547711
1330,-4238.250427547711
1340,-4238.250427547711
1350,-4238.250427547711
1360,-4238.250427547711
1370,-4238.250427547711
1380,-4238.250427547711
1390,-4238.250427547711
910,-4443.860137770103
920,-4422.650424726118
930,-4405.139138236835
940,-4362.20264535572
950,-4362.20264535572
960,-4348.157081799511
970,-4347.061010015092
980,-4347.061010015092
990,-4341.132463435954
1000,-4338.3357327013855
1010,-4338.3357327013855
1020,-4338.3357327013855
1030,-4335.185031872131
1040,-4326.7324645023255
1050,-4326.7324645023255
1060,-4319.156403933725
1070,-4311.291267859933
1080,-4303.398967346708
1090,-4291.050278196605
1100,-4284.452384443967
1110,-4284.452384443967
1120,-4284.452384443967
1130,-4284.452384443967
1140,-4284.452384443967
1150,-4277.817687173368
1160,-4277.817687173368
1170,-4276.657019357661
1180,-4276.657019357661
1190,-4276.657019357661
1200,-4267.231202498495
1210,-4267.231202498495
1220,-4267.231202498495
1230,-4266.144823000343
1240,-4266.144823000343
1250,-4266.144823000343
1260,-4266.144823000343
1270,-4266.144823000343
1280,-4266.144823000343
1290,-4266.144823000343
1300,-4266.144823000343
1310,-4264.180366688677
1320,-4264.180366688677
1330,-4264.180366688677
1340,-4264.180366688677
1350,-4264.180366688677
1360,-4264.180366688677
1370,-4262.975222242309
1380,-4262.975222242309
